event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
5793,2019-02-13 04:31:44,2.6,OGS,None,35.13166667,-97.866,8.57,0.28,0.28,0.8,None,Oklahoma,Grady,Reviewed
5859,2019-02-13 06:07:04,1.0,OGS,None,35.115,-97.88166667,7.31,0.78,0.78,1.4,None,Oklahoma,Grady,Reviewed
5860,2019-02-13 08:36:33,0.9,OGS,None,35.06183333,-97.7875,12.07,0.78,0.78,2.5,None,Oklahoma,Grady,Reviewed
5791,2019-02-13 09:19:39,2.4,OGS,None,35.83766667,-98.23183333,6.33,0.28,0.28,0.8,None,Oklahoma,Blaine,Reviewed
5863,2019-02-13 14:44:04,1.6,OGS,None,35.12716667,-97.9,6.78,0.71,0.71,1.4,None,Oklahoma,Grady,Reviewed
5822,2019-02-13 16:39:49,3.9,OGS,None,35.56575012,-97.10124969,5.2,0.66,0.8,1.5,0.14399572,Oklahoma,Oklahoma,Reviewed
5845,2019-02-14 00:48:31,3.9,OGS,None,36.41014099,-96.8886261,3.61,0.64,0.75,0.74,0.15111419,Oklahoma,Pawnee,Reviewed
5850,2019-02-14 06:25:08,3.2,OGS,None,36.41360092,-96.88800812,3.53,0.63,0.68,0.67,0.14284739,Oklahoma,Pawnee,Reviewed
5847,2019-02-14 10:12:56,2.8,OGS,None,34.05073929,-97.40457153,4.64,1.62,2.57,2.12,0.32595867,Oklahoma,Carter,Reviewed
5866,2019-02-14 15:46:16,1.7,OGS,None,35.857,-96.70116667,7.22,0.21,0.21,0.4,None,Oklahoma,Lincoln,Reviewed
5868,2019-02-14 21:07:43,2.7,OGS,None,33.28303146,-97.87671661,5.0,1.38,1.79,0.0,0.24246216,Texas,Wise,Preliminary
5877,2019-02-15 03:35:43,1.7,OGS,None,36.406,-96.886,4.97,0.21,0.21,0.5,None,Oklahoma,Pawnee,Reviewed
5874,2019-02-15 10:38:31,2.8,OGS,None,35.69,-98.80516667,7.3,0.28,0.28,0.7,None,Oklahoma,Custer,Reviewed
5888,2019-02-15 13:59:02,2.0,OGS,None,35.12516667,-97.87716667,7.87,0.57,0.57,0.8,None,Oklahoma,Grady,Reviewed
5891,2019-02-15 17:04:10,2.3,OGS,None,36.07083333,-97.57216667,6.99,0.14,0.14,0.4,None,Oklahoma,Logan,Reviewed
5894,2019-02-15 18:32:43,2.2,OGS,None,36.95566667,-97.71233333,5.26,0.35,0.35,1.1,None,Kansas,Sumner,Reviewed
